platform	key	product_name	articles	article_count	ranks
amazon	B07FPVTFYC	【40%OFFクーポンご利用で69,800円→41,880円 マラソン期間限定】ポータブル電源 大容量 車中泊 正弦波 エナーボックス 444Wh 120000mAh 400W |ポータブル バッテリー 蓄電器 発電機 小型 蓄電池 家庭 静音 ソーラー ソーラーパネル 電気毛布 キャンプ 防災 電源	camp-portable-power-beginner	1	2
amazon	B07H38HX1G	コールマン サイドテーブルデッキチェアST グレージュ 2190860	coleman-chair	1	3
amazon	B07HGPML44	EASY SMOKER イージースモーカー	camp-smoker	1	4
amazon	B07HH2BH27	イスカ アルファライト1300EX インディゴ 125809	isuka-sleeping-bag	1	3
amazon	B07HRKNWWT	コールマン（Coleman） シュラフ 寝袋 封筒型 コージー II C5 オレンジ 2000034772 快適温度5℃以上	coleman-sleeping-bag	1	3
amazon	B07HRQMV4M	コールマン 封筒型シュラフ パフォーマーIII/C5 オレンジ 2000034774 Coleman	coleman-sleeping-bag;solo-camp-beginners-guide	2	2;2
amazon	B07JHGW3HN	K-UNING 木製トレー小 長さ17.4cm ナチュラル	wooden-tableware	1	4
amazon	B07JMFSP1K	Soomloom ダウン 寝袋 マミー型 650FP 0〜-20℃対応 軽量 コンパクト シュラフ キャンプ 登山 アウトドア	sleeping-bag-temperature-guide	1	5
amazon	B07K6GXS5W	TSBBQ ライトステンレス ダッチオーブン 10インチ ミラー仕上げ TSBBQ-005 オール熱源対応 燕三条製	dutch-oven	1	1
amazon	B07KMB13KT	キャプテンスタッグ ダッチオーブンセット 25cm UG-3048 収納バッグ付き	dutch-oven	1	3
amazon	B07KY5D1KS	HAWK GEAR ホークギア 寝袋 マミー型 -15℃ 化繊 シュラフ 防寒 キャンプ アウトドア 洗える	sleeping-bag-temperature-guide	1	4
amazon	B07L6H367Y	WAQ チタンマグカップ 450ml	camp-gift;titanium-mug	2	3;1
amazon	B07LF5MH9R	【楽天1位】タープ テント 530 x 570cm タープテント ヘキサタープ T/C ポリコットン Lサイズ 6 - 8人用 大型 テントポール ヘキサゴンタープ 収納バッグ付き 日よけ 防カビ 撥水 6人 7人 8人 ヘキサ 簡易テント アウトドア TC FIELDOOR 1年保証 ■[送料無料]	large-tent-guide	1	4
amazon	B07M7D4Y5D	コールマン (Coleman) マルチレイヤースリーピングバッグ 寝袋 封筒型 2000034777	coleman-sleeping-bag;washable-sleeping-bag	2	1;2
amazon	B07M7LQFZR	モーラナイフ コンパニオン ヘビーデューティー ステンレス	moraknife	1	2
amazon	B07MRDHV4B	山善(YAMAZEN) ミニ炊飯器 YJE-M150(B) ブラック 0.5〜1.5合炊き マイコン式	camp-rice-cooker	1	1
amazon	B07MX6K5Q2	オレゴニアンキャンパー(Oregonian Camper) 調味料ケース ペッパーボックス	spice-box	1	1
amazon	B07N6PKRZJ	SOTO マイクロトーチ ACTIVE ST-486 充てん式 ガストーチ	soto-burner	1	3
amazon	B07NBHCBHT	LOGOS/ロゴス Tradcanvas コンフォートベッド 73173089 フォールディングコット ソロキャンプ 折り畳みベッド/コット キャンプ アウトドア 車中泊 軽量 コンパクト収納	solo-camp-cot	1	1
amazon	B07NNSF1D7	DOD オクラタープ TT8-583-TN ポリコットン 難燃 オクタタープ	dod-tarp;tc-tarp-takibi	2	1;3
amazon	B07P1732GM	FIELDOOR 防災ラジオ 1台5役 グリーン（3WAY充電・生活防水）	disaster-radio	1	2
amazon	B07P2L1DH2	笑's A-4君専用グリルプレート アウトドア キャンプ 焚き火	camp-grill-plate	1	3
amazon	B07P5HZTH5	クイックキャンプ ワンタッチタープ 2.5m	one-touch-tarp	1	4
amazon	B07PGCZPK6	WAQ アウトドアワゴン（容量106L・耐荷重150kg）	outdoor-wagon	1	2
amazon	B07PJTDL7N	LODGE(ロッジ) ロジック スキレット 6-1/2インチ L3SK3 正規輸入品	camp-skillet	1	3
